0,2.2444,1.444,0.34016
0.005,2.2444,1.444,0.34016
0.01,2.2452,1.4442,0.34042
0.015,2.2482,1.4458,0.34104
0.02,2.2534,1.4488,0.34204
0.025,2.261,1.4531,0.34341
0.03,2.2708,1.4588,0.34517
0.035,2.283,1.4658,0.34732
0.04,2.2976,1.4743,0.34989
0.045,2.3146,1.4841,0.35288
0.05,2.334,1.4953,0.35633
0.055,2.356,1.5079,0.36024
0.06,2.3805,1.5219,0.36465
0.065,2.4077,1.5373,0.36958
0.07,2.4376,1.5541,0.37506
0.075,2.4703,1.5724,0.38112
0.08,2.5058,1.5922,0.38779
0.085,2.5442,1.6134,0.3951
0.09,2.5857,1.636,0.40309
0.095,2.6303,1.6601,0.4118
0.1,2.678,1.6857,0.42125
0.105,2.729,1.7127,0.43149
0.11,2.7832,1.7412,0.44255
0.115,2.8409,1.7711,0.45446
0.12,2.9021,1.8024,0.46728
0.125,2.9668,1.8351,0.48101
0.13,3.035,1.8692,0.49571
0.135,3.1069,1.9046,0.51141
0.14,3.1824,1.9413,0.52813
0.145,3.2616,1.9792,0.5459
0.15,3.3445,2.0182,0.56476
0.155,3.4311,2.0583,0.58473
0.16,3.5213,2.0993,0.60582
0.165,3.6152,2.1412,0.62806
0.17,3.7127,2.1838,0.65147
0.175,3.8137,2.227,0.67606
0.18,3.9181,2.2706,0.70183
0.185,4.0259,2.3144,0.7288
0.19,4.1367,2.3583,0.75697
0.195,4.2505,2.4019,0.78632
0.2,4.3671,2.4451,0.81687
0.205,4.4861,2.4875,0.84858
0.21,4.6073,2.5288,0.88144
0.215,4.7305,2.5688,0.91544
0.22,4.8551,2.6069,0.95054
0.225,4.9808,2.6429,0.9867
0.23,5.107,2.6762,1.0239
0.235,5.2333,2.7064,1.0621
0.24,5.359,2.7329,1.1012
0.245,5.4835,2.7553,1.1411
0.25,5.606,2.7728,1.1819
0.255,5.7256,2.7849,1.2234
0.26,5.8416,2.791,1.2656
0.265,5.9529,2.7903,1.3084
0.27,6.0584,2.7821,1.3518
0.275,6.1571,2.7657,1.3956
0.28,6.2476,2.7404,1.4399
0.285,6.3288,2.7054,1.4846
0.29,6.3991,2.66,1.5297
0.295,6.4573,2.6036,1.5752
0.3,6.5017,2.5354,1.6211
0.305,6.5308,2.455,1.6676
0.31,6.5433,2.3618,1.7148
0.315,6.5374,2.2554,1.7629
0.32,6.5118,2.1358,1.8121
0.325,6.465,2.0027,1.8628
0.33,6.396,1.8565,1.9155
0.335,6.3035,1.6974,1.9708
0.34,6.1869,1.5262,2.0293
0.345,6.0457,1.3438,2.0917
0.35,5.8799,1.1515,2.159
0.355,5.6899,0.95069,2.2323
0.36,5.4767,0.7433,2.3126
0.365,5.2418,0.53142,2.4011
0.37,4.9877,0.31744,2.4993
0.375,4.7173,0.10397,2.6085
0.38,4.4346,-0.1062,2.7303
0.385,4.1443,-0.3101,2.8663
0.39,3.8522,-0.50462,3.0182
