0,2.2444,1.444,0.34016
0.02,2.2444,1.444,0.34016
0.04,2.2559,1.4479,0.34423
0.06,2.3039,1.4736,0.3543
0.08,2.3898,1.5212,0.37106
0.1,2.5167,1.5912,0.3959
0.12,2.6889,1.684,0.43069
0.14,2.9111,1.7997,0.47759
0.16,3.1875,1.9376,0.53886
0.18,3.5209,2.0954,0.61653
0.2,3.9115,2.2683,0.71221
0.22,4.3556,2.4481,0.82687
0.24,4.8439,2.6219,0.96068
0.26,5.3598,2.7706,1.1129
0.28,5.8765,2.8675,1.2817
0.3,6.3538,2.8774,1.4647
0.32,6.7341,2.7569,1.6597
0.34,6.9408,2.4586,1.8676
0.36,6.8802,1.9422,2.0976
0.38,6.4552,1.194,2.375
0.4,5.6,0.25502,2.7488
